freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	cycle number	<Ewe>/V	<I>/mA	
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2381525E-001	1.6862931E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2381567E-001	1.7270834E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2381888E-001	1.7649901E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2383060E-001	1.7974060E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382242E-001	1.8330497E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2381717E-001	1.8577071E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2383455E-001	1.8837379E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382703E-001	1.9063245E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2381390E-001	1.9295412E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2381828E-001	1.9460561E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382111E-001	1.9636004E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382430E-001	1.9781288E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382304E-001	1.9975159E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382095E-001	2.0068204E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382571E-001	2.0188053E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382454E-001	2.0318024E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2381782E-001	2.0356319E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2383787E-001	2.0481379E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382849E-001	2.0532837E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382241E-001	2.0621097E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2381399E-001	2.0700083E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382124E-001	2.0704570E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382424E-001	2.0793724E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382697E-001	2.0850272E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2381552E-001	2.0893652E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382445E-001	2.0926864E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2381691E-001	2.0949140E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382109E-001	2.0939729E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382032E-001	2.1001060E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382369E-001	2.1010635E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.2382631E-001	2.1010933E+000
