freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	cycle number	<Ewe>/V	<I>/mA	
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422225E-001	2.5434935E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5421656E-001	2.5900495E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423320E-001	2.6336110E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422851E-001	2.6697888E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423074E-001	2.7144959E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422930E-001	2.7318032E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422425E-001	2.7565784E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423650E-001	2.7834122E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422431E-001	2.8010941E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422960E-001	2.8237422E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423316E-001	2.8294523E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422972E-001	2.8404367E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422212E-001	2.8589263E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5424171E-001	2.8671238E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423104E-001	2.8746781E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422790E-001	2.8800786E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422885E-001	2.8877077E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423302E-001	2.8946187E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423712E-001	2.8976407E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422703E-001	2.9040432E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422511E-001	2.9050605E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423554E-001	2.9075139E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422598E-001	2.9121511E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422784E-001	2.9128990E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423489E-001	2.9179554E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422478E-001	2.9146342E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423541E-001	2.9249089E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423548E-001	2.9168484E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422653E-001	2.9123905E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422805E-001	2.9216053E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423071E-001	2.9198401E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423940E-001	2.9204981E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422945E-001	2.9232509E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5422942E-001	2.9213359E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.5423155E-001	2.9236398E+000
5.0001852E+004	2.2322681E+000	-2.6500080E-002	1.000000000000000E+000	1.5419781E-001	2.9135146E+000
3.9461480E+004	2.2357929E+000	-9.4670348E-004	1.000000000000000E+000	1.5421005E-001	2.9043691E+000
3.1147934E+004	2.2395608E+000	2.1805676E-002	1.000000000000000E+000	1.5420948E-001	2.9022460E+000
2.4588033E+004	2.2410593E+000	4.3260273E-002	1.000000000000000E+000	1.5421788E-001	2.8899713E+000
1.9410633E+004	2.2434931E+000	6.8882383E-002	1.000000000000000E+000	1.5421472E-001	2.8797643E+000
1.5318811E+004	2.2505767E+000	9.3568943E-002	1.000000000000000E+000	1.5421483E-001	2.8754618E+000
1.2089894E+004	2.2580376E+000	1.2668245E-001	1.000000000000000E+000	1.5421638E-001	2.8716621E+000
9.5475840E+003	2.2651439E+000	1.6014896E-001	1.000000000000000E+000	1.5419713E-001	2.8600583E+000
7.5337441E+003	2.2743785E+000	2.0142791E-001	1.000000000000000E+000	1.5420207E-001	2.8570220E+000
5.9476943E+003	2.2897794E+000	2.5087547E-001	1.000000000000000E+000	1.5421717E-001	2.8501863E+000
4.6935005E+003	2.3059840E+000	3.0744466E-001	1.000000000000000E+000	1.5422218E-001	2.8436673E+000
3.7038176E+003	2.3233297E+000	3.7467536E-001	1.000000000000000E+000	1.5421857E-001	2.8366826E+000
2.9240623E+003	2.3476772E+000	4.6035248E-001	1.000000000000000E+000	1.5421887E-001	2.8335161E+000
2.3077876E+003	2.3766444E+000	5.6190014E-001	1.000000000000000E+000	1.5422203E-001	2.8282263E+000
1.8217489E+003	2.4104412E+000	6.8623710E-001	1.000000000000000E+000	1.5422098E-001	2.8245013E+000
1.4377013E+003	2.4589875E+000	8.3724076E-001	1.000000000000000E+000	1.5421873E-001	2.8243709E+000
1.1346340E+003	2.5141788E+000	1.0221057E+000	1.000000000000000E+000	1.5421206E-001	2.8199005E+000
8.9585779E+002	2.5830152E+000	1.2478203E+000	1.000000000000000E+000	1.5422459E-001	2.8212974E+000
7.0703772E+002	2.6798699E+000	1.5159158E+000	1.000000000000000E+000	1.5422291E-001	2.8169389E+000
5.5803583E+002	2.8020508E+000	1.8555506E+000	1.000000000000000E+000	1.5422177E-001	2.8155048E+000
4.4042245E+002	2.9721684E+000	2.2527065E+000	1.000000000000000E+000	1.5421535E-001	2.8104944E+000
3.4766345E+002	3.1905298E+000	2.7381840E+000	1.000000000000000E+000	1.5421361E-001	2.8140335E+000
2.7438550E+002	3.5005715E+000	3.3098831E+000	1.000000000000000E+000	1.5421978E-001	2.8112395E+000
2.1659435E+002	3.9218314E+000	3.9792559E+000	1.000000000000000E+000	1.5421212E-001	2.8125992E+000
1.7103999E+002	4.4932580E+000	4.7419167E+000	1.000000000000000E+000	1.5421531E-001	2.8164549E+000
1.3495683E+002	5.3191490E+000	5.5521264E+000	1.000000000000000E+000	1.5421984E-001	2.8150578E+000
1.0653436E+002	6.4041924E+000	6.3918505E+000	1.000000000000000E+000	1.5423027E-001	2.8143873E+000
8.4111839E+001	7.8048887E+000	7.0997944E+000	1.000000000000000E+000	1.5422624E-001	2.8097866E+000
6.6380722E+001	9.4294243E+000	7.5620322E+000	1.000000000000000E+000	1.5421383E-001	2.8123569E+000
5.2397697E+001	1.1308501E+001	7.6471133E+000	1.000000000000000E+000	1.5422113E-001	2.8105688E+000
4.1363316E+001	1.3159695E+001	7.3216534E+000	1.000000000000000E+000	1.5421627E-001	2.8092091E+000
3.2649265E+001	1.4781595E+001	6.3045993E+000	1.000000000000000E+000	1.5421483E-001	2.8028204E+000
2.5766790E+001	1.5897422E+001	5.3132648E+000	1.000000000000000E+000	1.5421672E-001	2.7996726E+000
2.0331816E+001	1.6880812E+001	4.0793948E+000	1.000000000000000E+000	1.5420768E-001	2.7953515E+000
1.6053095E+001	1.7192724E+001	3.1642203E+000	1.000000000000000E+000	1.5420935E-001	2.7890933E+000
1.2668893E+001	1.7369165E+001	2.1505814E+000	1.000000000000000E+000	1.5419614E-001	2.7791283E+000
9.9968166E+000	1.7476023E+001	1.2999063E+000	1.000000000000000E+000	1.5421653E-001	2.7792587E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885361E-001	1.5346253E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885751E-001	1.6159538E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885121E-001	1.6583878E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885553E-001	1.6823338E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885054E-001	1.6966801E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885580E-001	1.7074411E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4884814E-001	1.7138153E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4884740E-001	1.7200727E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885167E-001	1.7238873E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885838E-001	1.7274471E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4884571E-001	1.7305502E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885091E-001	1.7320551E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885613E-001	1.7341433E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885848E-001	1.7352625E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885355E-001	1.7366356E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885030E-001	1.7368839E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885412E-001	1.7374046E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4885242E-001	1.7381374E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	2.000000000000000E+000	2.4884984E-001	1.7389000E+001
