freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	cycle number	<Ewe>/V	<I>/mA	
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8142651E-001	3.1661828E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8143150E-001	3.2203107E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144274E-001	3.2713213E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8143593E-001	3.3169577E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8143553E-001	3.3486645E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144053E-001	3.3823485E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144120E-001	3.4113767E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144119E-001	3.4271665E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8143269E-001	3.4464040E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144238E-001	3.4610939E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144520E-001	3.4735088E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144752E-001	3.4848788E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8143673E-001	3.4911618E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8145023E-001	3.5013342E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8145514E-001	3.5185516E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144289E-001	3.5150366E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144104E-001	3.5234437E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8145326E-001	3.5282309E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144819E-001	3.5304146E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144499E-001	3.5315814E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8145218E-001	3.5342743E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8145299E-001	3.5378644E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8145613E-001	3.5446858E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8143924E-001	3.5491436E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144922E-001	3.5566533E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8145406E-001	3.5527637E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144818E-001	3.5541341E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144071E-001	3.5559051E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8143918E-001	3.5623376E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8145216E-001	3.5651202E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8145107E-001	3.5671544E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144663E-001	3.5697873E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144369E-001	3.5675135E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144982E-001	3.5657785E+000
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	1.8144837E-001	3.5684710E+000
5.0001852E+004	2.1290138E+000	-4.9735405E-002	1.000000000000000E+000	1.8138181E-001	3.5897856E+000
3.9461480E+004	2.1325817E+000	-2.3348913E-002	1.000000000000000E+000	1.8138449E-001	3.5914061E+000
3.1147934E+004	2.1346405E+000	5.5527533E-003	1.000000000000000E+000	1.8138103E-001	3.6080017E+000
2.4588033E+004	2.1364748E+000	3.1202253E-002	1.000000000000000E+000	1.8138815E-001	3.6185441E+000
