freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	cycle number	<Ewe>/V	<I>/mA	
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002986E-001	8.0959953E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002748E-001	8.0690041E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002033E-001	8.0412285E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002384E-001	8.0181633E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002933E-001	7.9971222E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002432E-001	7.9793571E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002986E-001	7.9623215E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0003636E-001	7.9466713E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0003338E-001	7.9322418E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002122E-001	7.9178658E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0003296E-001	7.9048820E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0003320E-001	7.8917381E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0003278E-001	7.8798515E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002486E-001	7.8686836E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002384E-001	7.8572670E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0003159E-001	7.8465401E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0003368E-001	7.8351181E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0001967E-001	7.8253792E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002426E-001	7.8150719E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0003552E-001	7.8046432E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002205E-001	7.7945572E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0001568E-001	7.7859467E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0003099E-001	7.7766876E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0003570E-001	7.7672714E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002426E-001	7.7581291E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002325E-001	7.7488899E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0003570E-001	7.7412361E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002587E-001	7.7323334E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002354E-001	7.7236656E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0001365E-001	7.7158241E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0003117E-001	7.7076233E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002146E-001	7.6987854E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002360E-001	7.6912041E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0002521E-001	7.6833595E+001
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	5.0003260E-001	7.6757782E+001
5.0001852E+004	2.8348410E+000	-5.4373078E-002	1.000000000000000E+000	5.0000560E-001	7.6140366E+001
3.9461480E+004	2.8360474E+000	-2.3725979E-002	1.000000000000000E+000	5.0000900E-001	7.5755180E+001
3.1147934E+004	2.8391702E+000	3.2375643E-003	1.000000000000000E+000	5.0001049E-001	7.5218079E+001
2.4588033E+004	2.8476281E+000	2.7134169E-002	1.000000000000000E+000	5.0001365E-001	7.4876480E+001
1.9410633E+004	2.8521569E+000	5.5089135E-002	1.000000000000000E+000	5.0000668E-001	7.4381813E+001
1.5318811E+004	2.8615665E+000	8.8493258E-002	1.000000000000000E+000	5.0001484E-001	7.4062569E+001
1.2089894E+004	2.8703058E+000	1.1284194E-001	1.000000000000000E+000	5.0001001E-001	7.3759338E+001
9.5475840E+003	2.8895843E+000	1.5200485E-001	1.000000000000000E+000	4.9999353E-001	7.3307785E+001
7.5337441E+003	2.9079854E+000	1.8566486E-001	1.000000000000000E+000	5.0000846E-001	7.2976395E+001
5.9476943E+003	2.9380345E+000	2.2502537E-001	1.000000000000000E+000	5.0002277E-001	7.2590759E+001
4.6935005E+003	2.9730206E+000	2.7093089E-001	1.000000000000000E+000	5.0000995E-001	7.2162216E+001
3.7038176E+003	3.0186613E+000	3.1816250E-001	1.000000000000000E+000	5.0001955E-001	7.1736130E+001
2.9240623E+003	3.0785012E+000	3.6031193E-001	1.000000000000000E+000	5.0001329E-001	7.1319984E+001
2.3077876E+003	3.1508267E+000	4.0858427E-001	1.000000000000000E+000	5.0001526E-001	7.0919395E+001
1.8217489E+003	3.2385225E+000	4.4187501E-001	1.000000000000000E+000	5.0002146E-001	7.0531975E+001
1.4377013E+003	3.3332748E+000	4.6442899E-001	1.000000000000000E+000	5.0001687E-001	7.0155457E+001
1.1346340E+003	3.4336607E+000	4.7081387E-001	1.000000000000000E+000	5.0002408E-001	6.9788528E+001
8.9585779E+002	3.5363915E+000	4.5682952E-001	1.000000000000000E+000	5.0000834E-001	6.9429710E+001
7.0703772E+002	3.6325505E+000	4.3424058E-001	1.000000000000000E+000	5.0000739E-001	6.9081390E+001
5.5803583E+002	3.7248228E+000	3.9535883E-001	1.000000000000000E+000	5.0001246E-001	6.8743492E+001
4.4042245E+002	3.7952461E+000	3.5059258E-001	1.000000000000000E+000	5.0000739E-001	6.8418304E+001
3.4766345E+002	3.8568420E+000	3.0048433E-001	1.000000000000000E+000	5.0000989E-001	6.8094460E+001
2.7438550E+002	3.9056892E+000	2.4789378E-001	1.000000000000000E+000	5.0001258E-001	6.7774963E+001
2.1659435E+002	3.9433186E+000	2.0369646E-001	1.000000000000000E+000	5.0000465E-001	6.7467712E+001
1.7103999E+002	3.9604418E+000	1.5770340E-001	1.000000000000000E+000	5.0000459E-001	6.7165657E+001
1.3495683E+002	3.9791811E+000	1.2696531E-001	1.000000000000000E+000	5.0001049E-001	6.6866486E+001
1.0653436E+002	3.9948957E+000	9.8858163E-002	1.000000000000000E+000	5.0001520E-001	6.6582138E+001
