freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	cycle number	<Ewe>/V	<I>/mA	
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9995005E-001	1.2328003E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994415E-001	1.2284476E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9995330E-001	1.2236631E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9995771E-001	1.2191749E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994397E-001	1.2150471E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994695E-001	1.2111488E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994472E-001	1.2072696E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994883E-001	1.2037096E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994552E-001	1.2001265E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994943E-001	1.1967719E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994093E-001	1.1934510E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994296E-001	1.1903439E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9993587E-001	1.1872410E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994698E-001	1.1842351E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9993649E-001	1.1813081E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994835E-001	1.1784145E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9993700E-001	1.1755758E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9993938E-001	1.1728699E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994519E-001	1.1701588E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994650E-001	1.1675481E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994618E-001	1.1649611E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9995109E-001	1.1624264E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9994326E-001	1.1599189E+002
